地名,センター,燃焼ゴミ,資源ゴミ,大型複雑ゴミ,小型複雑ゴミ,有害危険ゴミ
竹見台１丁目,ごみ収集,火 金,水2 水4,水1,水3
竹見台２丁目,ごみ収集,火 金,木1 木3,木2,木4
竹見台３丁目,ごみ収集,火 金,水2 水4,水1,水3
竹見台４丁目,ごみ収集,火 金,木1 木3,木2,木4
津雲台１丁目,ごみ収集,火 金,木2 木4,木1,木3
津雲台２丁目,ごみ収集,火 金,月2 月4,月1,月3
津雲台３丁目（集合住宅）,ごみ収集,火 金,木2 木4,木1,木3
津雲台３丁目（集合住宅を除く）,ごみ収集,火 金,月2 月4,月1,月3
津雲台４丁目,ごみ収集,火 金,月2 月4,月1,月3
津雲台５丁目（集合住宅）,ごみ収集,火 金,水1 水3,水2,水4
津雲台５丁目（集合住宅を除く）,ごみ収集,火 金,月2 月4,月1,月3
津雲台６丁目,ごみ収集,火 金,月2 月4,月1,月3
津雲台７丁目,ごみ収集,火 金,月2 月4,月1,月3
天道町,ごみ収集,月 木,金1 金3,金4,金2
出口町,ごみ収集,水 土,火2 火4,火3,火1
豊津町,ごみ収集,月 木,水2 水4,水1,水3
中の島町,ごみ収集,水 土,火1 火3,火4,火2
長野東,ごみ収集,月 木,金2 金4,金3,金1
長野西,ごみ収集,月 木,金1 金3,金4,金2
西御旅町,ごみ収集,水 土,火1 火3,火4,火2
西の庄町,ごみ収集,水 土,火2 火4,火3,火1
原町１丁目,ごみ収集,月 木,水1 水3,水4,水2
原町２丁目,ごみ収集,水 土,木2 木4,木3,木1
原町３丁目,ごみ収集,月 木,水1 水3,水4,水2
原町４丁目,ごみ収集,月 木,水2 水4,水3,水1
東御旅町,ごみ収集,水 土,火1 火3,火4,火2
日の出町,ごみ収集,火 金,月2 月4,月3,月1
広芝町,ごみ収集,水 土,木1 木3,木2,木4
藤が丘町,ごみ収集,水 土,木2 木4,木3,木1
藤白台1丁目,ごみ収集,月 木,水1 水3,水2,水4
藤白台２～５丁目,ごみ収集,月 木,金1 金3,金2,金4
古江台１丁目,ごみ収集,月 木,水1 水3,水2,水4
古江台２～３丁目,ごみ収集,月 木,火2 火4,火1,火3
古江台４～６丁目,ごみ収集,月 木,水1 水3,水2,水4
穂波町,ごみ収集,水 土,木2 木4,木1,木3
円山町,ごみ収集,火 金,土2 土4,土1,土3
